Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 28, 2025 - January 15, 2026"
Statement,Data,WhenGenerated,"2026-01-16, 08:35:29 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,U20993660
Account Information,Data,Master Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account Type,Institution Client
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,1757.53447913,0,1757.53447913,1757.53447913
Net Asset Value,Data,Stock,0,328605.28,0,328605.28,328605.28
Net Asset Value,Data,Dividend Accruals,0,116.53,0,116.53,116.53
Net Asset Value,Data,Total,0,330479.34447913,0,330479.34447913,330479.34447913
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,10.159781493%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Mark-to-Market,28207.5789
Change in NAV,Data,Deposits & Withdrawals,300000
Change in NAV,Data,Dividends,432.26
Change in NAV,Data,Withholding Tax,-61.7
Change in NAV,Data,Change in Dividend Accruals,116.52
Change in NAV,Data,Interest,2696.81
Change in NAV,Data,Other Fees,-1.08
Change in NAV,Data,Commissions,-899.54435387
Change in NAV,Data,Transaction Fees,-11.510067
Change in NAV,Data,Other FX Translations,0.01
Change in NAV,Data,Ending Value,330479.34447913
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,CTVA,0,0,--,--,-24.56,6.88,-3.00168,0,-20.68168,
Mark-to-Market Performance Summary,Data,Stocks,CVX,0,21,--,166.1600,297.25,4.0654,-6.001038,13.08,308.394362,
Mark-to-Market Performance Summary,Data,Stocks,DD,0,0,--,--,-4.56,3.44,-3.00168,0,-4.12168,
Mark-to-Market Performance Summary,Data,Stocks,DE,0,3,--,515.0400,121.65,-10.1111,-3.000022,1.38,109.918878,
Mark-to-Market Performance Summary,Data,Stocks,DECK,0,0,--,--,6.08,-14.72,-3.00084,0,-11.64084,
Mark-to-Market Performance Summary,Data,Stocks,DHR,0,6,--,239.8900,135.1,7.3275,-7.000486,0.82,136.247014,
Mark-to-Market Performance Summary,Data,Stocks,DXCM,0,9,--,69.2400,34.89,-8.6637,-6.663474,0,19.562826,
Mark-to-Market Performance Summary,Data,Stocks,EA,0,0,--,--,32.16,-0.16,-3.00168,0,28.99832,
Mark-to-Market Performance Summary,Data,Stocks,ECL,0,0,--,--,-22.58,13.32,-3.00042,1.1,-11.16042,
Mark-to-Market Performance Summary,Data,Stocks,EOG,0,0,--,--,31.9,-21.8,-3.0021,0,7.0979,
Mark-to-Market Performance Summary,Data,Stocks,ETN,0,7,--,333.4600,-90.34,7.0014,-6.000486,0.78,-88.559086,
Mark-to-Market Performance Summary,Data,Stocks,FCX,0,26,--,59.9600,361.66,-6.094,-7.428838,1.15,349.287162,
Mark-to-Market Performance Summary,Data,Stocks,FERG,0,0,--,--,-12.26,-1.22,-3.00042,0,-16.48042,
Mark-to-Market Performance Summary,Data,Stocks,FTNT,0,0,--,--,-6.96,19.8,-3.00252,0,9.83748,
Mark-to-Market Performance Summary,Data,Stocks,GEV,0,3,--,642.2300,58.49,4.23,-3.000044,0.21,59.929956,
Mark-to-Market Performance Summary,Data,Stocks,GILD,0,15,--,121.2600,13.56,9.87,-12.002066,13.42,24.847934,
Mark-to-Market Performance Summary,Data,Stocks,GLD,0,25,--,423.3300,688.25,-45.875,-1,0,641.375,
Mark-to-Market Performance Summary,Data,Stocks,GOAU,0,0,--,--,-81.855,-13.575,-4.090895,0,-99.520895,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,0,47,--,333.1600,4502.64,314.7446,-13.020866,9.46,4813.823734,
Mark-to-Market Performance Summary,Data,Stocks,GRMN,0,0,--,--,-5.68,-0.64,-3.00042,1.8,-7.52042,
Mark-to-Market Performance Summary,Data,Stocks,HD,0,7,--,379.1600,-21.27,0.515,-6.000486,5.86,-20.895486,
Mark-to-Market Performance Summary,Data,Stocks,HLN,0,0,--,--,-36.8,1.6,-3.0168,0,-38.2168,
Mark-to-Market Performance Summary,Data,Stocks,HON,0,7,--,215.0200,105.63,7.3925,-10.000935,3.03,106.051565,
Mark-to-Market Performance Summary,Data,Stocks,IBM,0,6,--,297.9500,77.27,40.05,-6.000906,2.86,114.179094,
Mark-to-Market Performance Summary,Data,Stocks,IFNNY,0,33,--,47.9800,271.17,-0.32,-8.87034878,0,261.97965122,
Mark-to-Market Performance Summary,Data,Stocks,INFY,0,0,--,--,32.94,17.08,-3.02562,0,46.99438,
Mark-to-Market Performance Summary,Data,Stocks,INTU,0,3,--,554.5800,-277.63,-14.206,-3.000022,1.02,-293.816022,
Mark-to-Market Performance Summary,Data,Stocks,ISRG,0,2,--,541.3400,15.55,10.205,-6.000442,0,19.754558,
Mark-to-Market Performance Summary,Data,Stocks,JNJ,0,14,--,219.5700,331.1,30.735,-6.000784,7.73,363.564216,
Mark-to-Market Performance Summary,Data,Stocks,KLAC,0,1,--,"1,544.9600",319.85,-4.72,-1,0,314.13,
Mark-to-Market Performance Summary,Data,Stocks,KMB,0,0,--,--,-28.44,7.74,-3.00126,0,-23.70126,
Mark-to-Market Performance Summary,Data,Stocks,KO,0,38,--,70.4800,43.72,-1.6615,-4.001656,7.8,45.856844,
Mark-to-Market Performance Summary,Data,Stocks,LIN,0,4,--,440.0400,0.04,16.92,-6.000276,4.5,15.459724,
Mark-to-Market Performance Summary,Data,Stocks,LLY,0,4,--,"1,032.9700",479.33,72.145,-7.000674,2.55,547.024326,
Mark-to-Market Performance Summary,Data,Stocks,LOW,0,6,--,277.0100,139.25,7.645,-7.000276,2.04,141.934724,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,0,7,--,217.4700,783.36,-5.24,-10.001767,2.66,770.778233,
Mark-to-Market Performance Summary,Data,Stocks,MCHP,0,10,--,74.4500,175.36,-2.7915,-8.411499,3.48,167.637001,
Mark-to-Market Performance Summary,Data,Stocks,MDLZ,0,0,--,--,12.16,-1.68,-3.00336,0,7.47664,
Mark-to-Market Performance Summary,Data,Stocks,MDT,0,15,--,99.0000,39.52,-7.6244,-5.976234,4.26,30.179366,
Mark-to-Market Performance Summary,Data,Stocks,META,0,12,--,620.8000,-209.47,132.1855,-11.002862,6.26,-82.027362,
Mark-to-Market Performance Summary,Data,Stocks,MPNGY,0,60,--,25.9000,-72.08,3.08,-10.53352806,0,-79.53352806,
Mark-to-Market Performance Summary,Data,Stocks,MRK,0,21,--,110.9700,363.76,6.7455,-6.87461,18.24,381.87089,
Mark-to-Market Performance Summary,Data,Stocks,MRVL,0,39,--,80.3800,253.62,-23.2786,-8.582086,0.51,222.269314,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,0,36,--,456.6600,-1483,232.78,-14.012102,34.81,-1229.422102,
Mark-to-Market Performance Summary,Data,Stocks,MU,0,15,--,336.6300,3156.69,-71.575,-11.003136,3.53,3077.641864,
Mark-to-Market Performance Summary,Data,Stocks,NBIX,0,12,--,133.3500,-140.51,3.375,-8.000972,0,-145.135972,
Mark-to-Market Performance Summary,Data,Stocks,NEE,0,23,--,82.1900,138.16,-5.0016,-5.00127,4.82,132.97713,
Mark-to-Market Performance Summary,Data,Stocks,NKE,0,0,--,--,-8.8,-6.8688,-3.00344,0,-18.67224,
Mark-to-Market Performance Summary,Data,Stocks,NSC,0,5,--,290.7700,18.91,3.38,-5.000254,1.15,18.439746,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,0,80,--,187.0500,1341.84,243.9187,-15.027813,1.24,1571.970887,
Mark-to-Market Performance Summary,Data,Stocks,NVO,0,47,--,57.1200,346.56,2.615,-7.174484,0,342.000516,
Mark-to-Market Performance Summary,Data,Stocks,NVS,0,8,--,143.1500,89.57,3.606,-6.002066,0,87.173934,
Mark-to-Market Performance Summary,Data,Stocks,NXPI,0,3,--,238.6000,61.82,-0.5,-5.000254,2.58,58.899746,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,0,38,--,189.8500,767.17,-1178.242,-10.030382,5.1,-416.002382,
Mark-to-Market Performance Summary,Data,Stocks,ORLY,0,0,--,--,-6.06,17.46,-3.00126,0,8.39874,
Mark-to-Market Performance Summary,Data,Stocks,PANW,0,8,--,187.7300,7.39,13.89,-10.00242,0,11.27758,
Mark-to-Market Performance Summary,Data,Stocks,PCAR,0,0,--,--,27.66,-6.84,-3.00126,0,17.81874,
Mark-to-Market Performance Summary,Data,Stocks,PDD,0,26,--,107.4600,-334.25,-11.3832,-12.002654,0,-357.635854,
Mark-to-Market Performance Summary,Data,Stocks,PEP,0,13,--,146.5700,24.4,-5.0038,-10.001204,8.47,17.864996,
Mark-to-Market Performance Summary,Data,Stocks,PFE,0,121,--,25.8900,72.98,41.5168,-5.006294,13.89,123.380506,
Mark-to-Market Performance Summary,Data,Stocks,PG,0,18,--,144.6300,-120.9,8.75,-6.001646,4.49,-113.661646,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,0,14,--,177.0700,265.7,-30.81,-11.004028,0,223.885972,
Mark-to-Market Performance Summary,Data,Stocks,PPG,0,15,--,110.0700,77.52,3.584,-6.000784,2.41,77.513216,
Mark-to-Market Performance Summary,Data,Stocks,QCOM,0,29,--,161.3900,-248.72,-6.529,-11.002308,14.37,-251.881308,
Mark-to-Market Performance Summary,Data,Stocks,ROIV,0,37,--,23.3000,208.07,-9.4997,-6.735948,0,191.834352,
Mark-to-Market Performance Summary,Data,Stocks,ROST,0,3,--,193.7900,94.43,0.5118,-4.000254,0.69,91.631546,
Mark-to-Market Performance Summary,Data,Stocks,RTX,0,10,--,199.8300,272.34,23.035,-4.00053,2.89,294.26447,
Mark-to-Market Performance Summary,Data,Stocks,SAP,0,16,--,235.8400,-295.18,-19.4718,-7.001414,0,-321.653214,
Mark-to-Market Performance Summary,Data,Stocks,SBUX,0,0,--,--,1.2,-10.8,-3.00126,0,-12.60126,
Mark-to-Market Performance Summary,Data,Stocks,SE,0,12,--,124.0000,-186.58,-30.35,-5.00032,0,-221.93032,
Mark-to-Market Performance Summary,Data,Stocks,SLB,0,39,--,46.5700,341.54,-15.1043,-7.343963,5.7,324.791737,
Mark-to-Market Performance Summary,Data,Stocks,SNY,0,46,--,47.4700,-45.07,-9.3626,-20.993413,0,-75.426013,
Mark-to-Market Performance Summary,Data,Stocks,SOLS,0,0,--,--,0,0.38,-0.247594,0,0.132406,
Mark-to-Market Performance Summary,Data,Stocks,SPGI,0,4,--,545.4300,144.02,-7.945,-4.000232,0.82,132.894768,
Mark-to-Market Performance Summary,Data,Stocks,SPSK,0,0,--,--,-129.5,169.0766,-65.82485,0,-26.24825,
Mark-to-Market Performance Summary,Data,Stocks,SW,0,0,--,--,-33.74,-16.24,-3.00294,0,-52.98294,
Mark-to-Market Performance Summary,Data,Stocks,SYK,0,4,--,362.4900,8.63,-4.97,-3.000022,0.71,1.369978,
Mark-to-Market Performance Summary,Data,Stocks,TER,0,7,--,227.7000,645.16,-13.3926,-7.000935,0.51,625.276465,
Mark-to-Market Performance Summary,Data,Stocks,TGT,0,0,--,--,-9.44,-33.12,-3.00344,0,-45.56344,
Mark-to-Market Performance Summary,Data,Stocks,TJX,0,10,--,156.1600,65.14,18.0577,-7.00116,1.09,77.28654,
Mark-to-Market Performance Summary,Data,Stocks,TMO,0,3,--,624.6500,221.29,3.38,-4.000232,1.1,221.769768,
Mark-to-Market Performance Summary,Data,Stocks,TMUS,0,12,--,190.6600,-276.62,-7.2596,-8.000784,5.2,-286.680384,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,0,12,--,438.5700,326.12,8.6511,-12.001204,0,322.769896,
Mark-to-Market Performance Summary,Data,Stocks,TSM,0,34,--,341.6400,2729.5,35.44,-8.005086,23.65,2780.584914,
Mark-to-Market Performance Summary,Data,Stocks,TT,0,0,--,--,-29.88,10.24,-3.00042,0,-22.64042,
Mark-to-Market Performance Summary,Data,Stocks,TTD,0,52,--,36.2300,-257.39,-8.9576,-10.861952,0,-277.209552,
Mark-to-Market Performance Summary,Data,Stocks,TXN,0,9,--,189.1200,82.86,-22.1726,-10.002232,3.62,54.305168,
Mark-to-Market Performance Summary,Data,Stocks,UNH,0,7,--,338.9600,-0.18,-5.5136,-4.000276,5.64,-4.053876,
Mark-to-Market Performance Summary,Data,Stocks,VMC,0,0,--,--,-13.9,11.63,-3.00042,0,-5.27042,
Mark-to-Market Performance Summary,Data,Stocks,VSNT,0,2,--,32.6500,-15.84,0.874,-0.3172202,0,-15.2832202,
Mark-to-Market Performance Summary,Data,Stocks,VST,0,0,--,--,42.84,1.14,-3.00042,0,40.97958,
Mark-to-Market Performance Summary,Data,Stocks,VZ,0,50,--,39.3600,-142.79,-3.82,-4.826596,8.8,-142.636596,
Mark-to-Market Performance Summary,Data,Stocks,WMT,0,44,--,119.2000,478.96,97.106,-7.009116,4.6,573.656884,
Mark-to-Market Performance Summary,Data,Stocks,XIACY,0,78,--,24.4400,-365.77,-0.85,-9.82726886,0,-376.44726886,
Mark-to-Market Performance Summary,Data,Stocks,XOM,0,29,--,129.1300,432.1,-1.05,-6.003016,11.38,436.426984,
Mark-to-Market Performance Summary,Data,Stocks,XYL,0,11,--,144.8100,53.65,-2.5,-5.00053,1.7,47.84947,
Mark-to-Market Performance Summary,Data,Stocks,ZTS,0,0,--,--,-25.74,-1.68,-3.00126,0,-30.42126,
Mark-to-Market Performance Summary,Data,Total,,,,,,29081.6132,-874.0343,-911.05442087,370.56,27667.08447913,
Mark-to-Market Performance Summary,Data,Forex,USD,0,1757.53447913,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,29081.6132,-874.0343,-911.05442087,370.56,27667.08447913,
Mark-to-Market Performance Summary,Data,Broker Interest Paid and Received,,,,,,,,,,2696.81,
Mark-to-Market Performance Summary,Data,Other Fees,,,,,,,,,,-1.08,
Total P/L for Statement Period,,,,,,,,,,,,30362.81447913,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,185.03171,-0.81901,0,0,184.2127,71.934868,-308.615176,0,0,-236.680308,-52.467608,
Realized & Unrealized Performance Summary,Data,Stocks,ABBV,0,74.32395,0,0,0,74.32395,16.679934,-100.694644,0,0,-84.01471,-9.69076,
Realized & Unrealized Performance Summary,Data,Stocks,ABT,0,4.63937,-3.71802,0,0,0.92135,0,-88.440176,0,0,-88.440176,-87.518826,
Realized & Unrealized Performance Summary,Data,Stocks,ACN,0,0,-23.60042,0,0,-23.60042,136.196934,0,0,0,136.196934,112.596514,
Realized & Unrealized Performance Summary,Data,Stocks,ADBE,0,0,-1.19021,0,0,-1.19021,0,-158.415066,0,0,-158.415066,-159.605276,
Realized & Unrealized Performance Summary,Data,Stocks,ADI,0,13.30479,-29.56693,0,0,-16.26214,228.179934,0,0,0,228.179934,211.917794,
Realized & Unrealized Performance Summary,Data,Stocks,ADP,0,0,-3.03302,0,0,-3.03302,9.639956,-46.260022,0,0,-36.620066,-39.653086,
Realized & Unrealized Performance Summary,Data,Stocks,ALC,0,0,-18.04168,0,0,-18.04168,0,0,0,0,0,-18.04168,
Realized & Unrealized Performance Summary,Data,Stocks,AMAT,0,379.87727584,0,0,0,379.87727584,722.106557,0,0,0,722.106557,1101.98383284,
Realized & Unrealized Performance Summary,Data,Stocks,AMD,0,2818.42195767,-52.45116625,0,0,2765.97079142,333.153268,-478.969059,0,0,-145.815791,2620.15500042,
Realized & Unrealized Performance Summary,Data,Stocks,AMGN,0,39.19391317,0,0,0,39.19391317,108.849623,-5.250022,0,0,103.599601,142.79351417,
Realized & Unrealized Performance Summary,Data,Stocks,AMZN,0,295.40453843,-483.76893952,0,0,-188.36440109,299.204296,-8.455154,0,0,290.749142,102.38474091,
Realized & Unrealized Performance Summary,Data,Stocks,ANET,0,16.01058,0,0,0,16.01058,20.7,-51.80461,0,0,-31.10461,-15.09403,
Realized & Unrealized Performance Summary,Data,Stocks,APD,0,0,-3.62042,0,0,-3.62042,0,0,0,0,0,-3.62042,
Realized & Unrealized Performance Summary,Data,Stocks,APH,0,12.28624667,0,0,0,12.28624667,322.803201,0,0,0,322.803201,335.08944767,
Realized & Unrealized Performance Summary,Data,Stocks,APP,0,0,0,0,0,0,12.809978,-75.14,0,0,-62.330022,-62.330022,
Realized & Unrealized Performance Summary,Data,Stocks,ARM,0,15.75937,0,0,0,15.75937,0,-426.480154,0,0,-426.480154,-410.720784,
Realized & Unrealized Performance Summary,Data,Stocks,ASML,0,1134.260719,-72.24454333,0,0,1062.01617567,2382.55089,0,0,0,2382.55089,3444.56706567,
Realized & Unrealized Performance Summary,Data,Stocks,AVGO,0,824.3444198,-80.72294,0,0,743.6214798,142.749648,-139.88,0,0,2.869648,746.4911278,
Realized & Unrealized Performance Summary,Data,Stocks,AZN,0,81.64716411,0,0,0,81.64716411,165.718934,0,0,0,165.718934,247.36609811,
Realized & Unrealized Performance Summary,Data,Stocks,BA,0,91.84058425,0,0,0,91.84058425,1675.122954,0,0,0,1675.122954,1766.96353825,
Realized & Unrealized Performance Summary,Data,Stocks,BABA,0,142.53103,0,0,0,142.53103,525.113948,0,0,0,525.113948,667.644978,
Realized & Unrealized Performance Summary,Data,Stocks,BSX,0,0,0,0,0,0,0,-20.860015,0,0,-20.860015,-20.860015,
Realized & Unrealized Performance Summary,Data,Stocks,BYDDY,0,81.16858472,0,0,0,81.16858472,35.3647,-43.603242,0,0,-8.238542,72.93004272,
Realized & Unrealized Performance Summary,Data,Stocks,CAT,0,60.21479,0,0,0,60.21479,303.199978,0,0,0,303.199978,363.414768,
Realized & Unrealized Performance Summary,Data,Stocks,CEG,0,42.69958,0,0,0,42.69958,0,0,0,0,0,42.69958,
Realized & Unrealized Performance Summary,Data,Stocks,CL,0,0,-29.1021,0,0,-29.1021,0,0,0,0,0,-29.1021,
Realized & Unrealized Performance Summary,Data,Stocks,CMCSA,0,0,-40.92397057,0,0,-40.92397057,103.833956,-22.092515,0,0,81.741441,40.81747043,
Realized & Unrealized Performance Summary,Data,Stocks,CMG,0,0,-30.54378,0,0,-30.54378,0,0,0,0,0,-30.54378,
Realized & Unrealized Performance Summary,Data,Stocks,COP,0,4.05743,-3.75599,0,0,0.30144,99.494902,0,0,0,99.494902,99.796342,
Realized & Unrealized Performance Summary,Data,Stocks,COR,0,0,-5.76042,0,0,-5.76042,0,0,0,0,0,-5.76042,
Realized & Unrealized Performance Summary,Data,Stocks,CORT,0,52.82077,0,0,0,52.82077,0,-373.720132,0,0,-373.720132,-320.899362,
Realized & Unrealized Performance Summary,Data,Stocks,COST,0,0,-58.07142,0,0,-58.07142,159.959956,0,0,0,159.959956,101.888536,
Realized & Unrealized Performance Summary,Data,Stocks,CRM,0,0,-28.28062967,0,0,-28.28062967,0,-202.705088,0,0,-202.705088,-230.98571767,
Realized & Unrealized Performance Summary,Data,Stocks,CRWD,0,152.90416,0,0,0,152.90416,0,-158.480022,0,0,-158.480022,-5.575862,
Realized & Unrealized Performance Summary,Data,Stocks,CSCO,0,30.96380941,-0.09293364,0,0,30.87087577,79.101234,-51.498469,0,0,27.602765,58.47364077,
Realized & Unrealized Performance Summary,Data,Stocks,CTVA,0,0,-20.68168,0,0,-20.68168,0,0,0,0,0,-20.68168,
Realized & Unrealized Performance Summary,Data,Stocks,CVX,0,2.09099,-1.54063,0,0,0.55036,294.764002,0,0,0,294.764002,295.314362,
Realized & Unrealized Performance Summary,Data,Stocks,DD,0,0,-4.12168,0,0,-4.12168,0,0,0,0,0,-4.12168,
Realized & Unrealized Performance Summary,Data,Stocks,DE,0,0,0,0,0,0,108.538878,0,0,0,108.538878,108.538878,
Realized & Unrealized Performance Summary,Data,Stocks,DECK,0,0,-11.64084,0,0,-11.64084,0,0,0,0,0,-11.64084,
Realized & Unrealized Performance Summary,Data,Stocks,DHR,0,6.85979,-8.90771,0,0,-2.04792,137.474934,0,0,0,137.474934,135.427014,
Realized & Unrealized Performance Summary,Data,Stocks,DXCM,0,0,-27.56944233,0,0,-27.56944233,47.132268,0,0,0,47.132268,19.56282567,
Realized & Unrealized Performance Summary,Data,Stocks,EA,0,28.99832,0,0,0,28.99832,0,0,0,0,0,28.99832,
Realized & Unrealized Performance Summary,Data,Stocks,ECL,0,0,-12.26042,0,0,-12.26042,0,0,0,0,0,-12.26042,
Realized & Unrealized Performance Summary,Data,Stocks,EOG,0,7.0979,0,0,0,7.0979,0,0,0,0,0,7.0979,
